"X_t" "t"
"84" 1.23977860946401 20.75
"85" 1.45818041508227 21
"86" 1.36781944268976 21.25
"87" 1.18688970618055 21.5
"88" 1.16245985938179 21.75
"89" 0.988262498422536 22
"90" 0.671955369309268 22.25
"91" 0.769945521124476 22.5
"92" 0.959184966913903 22.75
"93" 0.63825359054671 23
"94" 0.567567492228794 23.25
"95" 0.593301523616443 23.5
"96" 0.565397180524649 23.75
"97" 0.537324798062189 24
"98" 0.744455903872685 24.25
"99" 1.17002170118618 24.5
"100" 1.30646984400927 24.75
"101" 1.27479862004794 25
"102" 1.52491609502892 25.25
"103" 1.14308678992868 25.5
"104" 1.26590075007044 25.75
"105" 1.23452726392888 26
"106" 1.02413703723501 26.25
"107" 0.893165625014305 26.5
"108" 0.822286128059269 26.75
"109" 0.670098779006936 27
"110" 0.420432811776755 27.25
"111" 0.87456082198478 27.5
"112" 1.09118066758963 27.75
"113" 1.15589279632175 28
"114" 1.3629777468142 28.25
"115" 0.931684784791645 28.5
"116" 1.33484786440427 28.75
"117" 1.66232561702565 29
"118" 1.46030795242586 29.25
"119" 1.39986294203688 29.5
"120" 1.20622239018237 29.75
"121" 1.29912839175192 30
"122" 1.06917227273516 30.25
"123" 0.647078099864711 30.5
"124" 0.182233862832564 30.75
"125" 0.389029596150824 31
"126" 0.346025991501118 31.25
"127" 0.206800975125922 31.5
"128" -0.161443557418316 31.75
"129" -0.333118806488604 32
"130" -0.502665604060557 32.25
"131" -0.403322431301849 32.5
"132" -0.330338339786122 32.75
"133" -0.691715508190183 33
"134" -0.848548206001848 33.25
"135" -1.15686499437021 33.5
"136" -1.17784442225712 33.75
"137" -0.881231282714763 34
"138" -1.09785527984103 34.25
"139" -0.935566374015199 34.5
"140" -0.889811387732693 34.75
"141" -0.770579969550218 35
"142" -0.546749089196963 35.25
"143" -0.429571080826922 35.5
"144" -0.316745950507003 35.75
"145" -0.177209181982428 36
"146" -0.473243590697252 36.25
"147" -0.503267699948826 36.5
"148" -0.690094774507375 36.75
"149" -0.931870602893188 37
"150" -1.39019799754556 37.25
"151" -1.2889106806099 37.5
"152" -1.23156399437706 37.75
"153" -0.841001159947248 38
"154" -0.783590008515185 38.25
"155" -0.758341963646666 38.5
"156" -0.542437107918439 38.75
"157" -0.732308286278446 39
"158" -0.708778829211932 39.25
"159" -0.371850434466582 39.5
"160" -0.836942556606324 39.75
"161" -1.09588470917859 40
"162" -0.916417582630494 40.25
"163" -1.04422785290573 40.5
"164" -1.1567241336538 40.75
"165" -1.08455799558269 41
"166" -1.64843714103146 41.25
"167" -1.43677836459097 41.5
"168" -1.39655414904511 41.75
"169" -1.0556127506428 42
"170" -0.934930328411822 42.25
"171" -0.899416430510233 42.5
"172" -0.794510094254336 42.75
"173" -0.751389036159729 43
"174" -0.110463823655355 43.25
"175" 0.197635478498297 43.5
"176" 0.347421472245296 43.75
"177" 0.438431450988385 44
"178" 0.712383415453077 44.25
"179" 1.08550254492892 44.5
"180" 1.27567177487608 44.75
"181" 1.56914778089253 45
"182" 1.67058807378748 45.25
"183" 1.27989850531145 45.5
"184" 1.29514305974994 45.75
"185" 1.2057839116835 46
"186" 1.25816568931411 46.25
"187" 0.980501030036733 46.5
"188" 1.03836003737333 46.75
"189" 0.898664325534586 47
"190" 0.71463620789675 47.25
"191" 0.899530790745732 47.5
"192" 0.821395830804765 47.75
"193" 0.902306120024984 48
"194" 1.05841665901035 48.25
"195" 1.146471706233 48.5
"196" 1.32002060443436 48.75
"197" 1.34569978318676 49
"198" 1.55343968234886 49.25
"199" 1.14621507232234 49.5
"200" 1.24330432179798 49.75
"201" 1.42107407024671 50
